Bus_k,Bus_j,Connectivity
slack,slack,1
slack,secondary,1
slack,feeder2_44,0
slack,feeder2_45,0
slack,feeder2_46,0
slack,feeder2_51,0
slack,feeder2_48,0
slack,feeder2_52,0
slack,feeder2_68,0
slack,feeder2_69,0
slack,feeder2_71,0
slack,feeder2_72,0
slack,feeder2_73,0
slack,feeder2_74,0
slack,feeder2_77,0
slack,feeder2_79,0
slack,feeder2_81,0
slack,feeder2_82,0
slack,feeder2_116,0
slack,feeder2_119,0
slack,feeder2_120,0
slack,feeder2_248,0
slack,feeder2_124,0
slack,feeder2_282,0
slack,feeder2_275,0
slack,feeder2_151,0
slack,feeder2_295,0
slack,feeder2_311,0
slack,feeder2_201,0
slack,feeder2_314,0
slack,feeder2_342,0
slack,feeder2_368,0
slack,feeder2_347,0
slack,feeder2_353,0
slack,feeder2_518,0
slack,feeder2_365,0
slack,feeder2_653,0
slack,feeder2_377,0
slack,feeder2_622,0
slack,feeder2_451,0
slack,feeder2_383,0
slack,feeder2_385,0
slack,feeder2_621,0
slack,feeder2_611,0
slack,feeder2_405,0
slack,feeder2_461,0
slack,feeder2_594,0
slack,feeder2_732,0
slack,feeder2_417,0
slack,feeder2_663,0
slack,feeder2_444,0
slack,feeder2_759,0
slack,feeder2_842,0
slack,feeder2_459,0
slack,feeder2_702,0
slack,feeder2_493,0
slack,feeder2_651,0
slack,feeder2_684,0
slack,feeder2_674,0
slack,feeder2_696,0
slack,feeder2_681,0
slack,feeder2_682,0
slack,feeder2_728,0
slack,feeder2_724,0
slack,feeder2_703,0
slack,feeder2_704,0
slack,feeder2_754,0
slack,feeder2_747,0
slack,feeder2_828,0
slack,feeder2_763,0
slack,feeder2_836,0
slack,feeder2_758,0
slack,feeder2_788,0
slack,feeder2_812,0
slack,feeder2_947,0
slack,feeder2_868,0
slack,feeder2_785,0
slack,feeder2_1176,0
slack,feeder2_846,0
slack,feeder2_911,0
slack,feeder2_1107,0
slack,feeder2_920,0
slack,feeder2_926,0
slack,feeder2_1239,0
slack,feeder2_933,0
slack,feeder2_1146,0
slack,feeder2_1124,0
slack,feeder2_942,0
slack,feeder2_952,0
slack,feeder2_965,0
slack,feeder2_961,0
slack,feeder2_963,0
slack,feeder2_973,0
slack,feeder2_1128,0
slack,feeder2_1113,0
slack,feeder2_1143,0
slack,feeder2_1238,0
slack,feeder2_979,0
slack,feeder2_1236,0
slack,feeder2_989,0
slack,feeder2_1196,0
slack,feeder2_1158,0
slack,feeder2_1122,0
slack,feeder2_1258,0
slack,feeder2_1303,0
slack,feeder2_1138,0
slack,feeder2_1304,0
slack,feeder2_1212,0
slack,feeder2_1311,0
slack,feeder2_1290,0
slack,feeder2_1325,0
slack,feeder2_1248,0
slack,feeder2_1249,0
slack,feeder2_1250,0
slack,feeder2_1366,0
slack,feeder2_1266,0
slack,feeder2_1372,0
slack,feeder2_1363,0
slack,feeder2_1446,0
slack,feeder2_1502,0
slack,feeder2_1428,0
slack,feeder2_1380,0
slack,feeder2_1550,0
slack,feeder2_1386,0
slack,feeder2_1551,0
slack,feeder2_1400,0
slack,feeder2_1552,0
slack,feeder2_1408,0
slack,feeder2_1553,0
slack,feeder2_1416,0
slack,feeder2_1530,0
slack,feeder2_1425,0
slack,feeder2_1589,0
slack,feeder2_1435,0
slack,feeder2_1621,0
slack,feeder2_1564,0
slack,feeder2_1704,0
slack,feeder2_1525,0
slack,feeder2_1716,0
slack,feeder2_1537,0
slack,feeder2_1645,0
slack,feeder2_1561,0
slack,feeder2_1657,0
slack,feeder2_1570,0
slack,feeder2_1756,0
slack,feeder2_1588,0
slack,feeder2_1628,0
slack,feeder2_1598,0
slack,feeder2_1816,0
slack,feeder2_1765,0
slack,feeder2_1641,0
slack,feeder2_1689,0
slack,feeder2_1744,0
slack,feeder2_1817,0
slack,feeder2_1779,0
slack,feeder2_1800,0
slack,feeder2_1818,0
slack,feeder2_1753,0
slack,feeder2_1754,0
secondary,slack,1
secondary,secondary,1
secondary,feeder2_44,1
secondary,feeder2_45,0
secondary,feeder2_46,0
secondary,feeder2_51,0
secondary,feeder2_48,0
secondary,feeder2_52,0
secondary,feeder2_68,0
secondary,feeder2_69,0
secondary,feeder2_71,0
secondary,feeder2_72,0
secondary,feeder2_73,0
secondary,feeder2_74,0
secondary,feeder2_77,0
secondary,feeder2_79,0
secondary,feeder2_81,0
secondary,feeder2_82,0
secondary,feeder2_116,0
secondary,feeder2_119,0
secondary,feeder2_120,0
secondary,feeder2_248,0
secondary,feeder2_124,0
secondary,feeder2_282,0
secondary,feeder2_275,0
secondary,feeder2_151,0
secondary,feeder2_295,0
secondary,feeder2_311,0
secondary,feeder2_201,0
secondary,feeder2_314,0
secondary,feeder2_342,0
secondary,feeder2_368,0
secondary,feeder2_347,0
secondary,feeder2_353,0
secondary,feeder2_518,0
secondary,feeder2_365,0
secondary,feeder2_653,0
secondary,feeder2_377,0
secondary,feeder2_622,0
secondary,feeder2_451,0
secondary,feeder2_383,0
secondary,feeder2_385,0
secondary,feeder2_621,0
secondary,feeder2_611,0
secondary,feeder2_405,0
secondary,feeder2_461,0
secondary,feeder2_594,0
secondary,feeder2_732,0
secondary,feeder2_417,0
secondary,feeder2_663,0
secondary,feeder2_444,0
secondary,feeder2_759,0
secondary,feeder2_842,0
secondary,feeder2_459,0
secondary,feeder2_702,0
secondary,feeder2_493,0
secondary,feeder2_651,0
secondary,feeder2_684,0
secondary,feeder2_674,0
secondary,feeder2_696,0
secondary,feeder2_681,0
secondary,feeder2_682,0
secondary,feeder2_728,0
secondary,feeder2_724,0
secondary,feeder2_703,0
secondary,feeder2_704,0
secondary,feeder2_754,0
secondary,feeder2_747,0
secondary,feeder2_828,0
secondary,feeder2_763,0
secondary,feeder2_836,0
secondary,feeder2_758,0
secondary,feeder2_788,0
secondary,feeder2_812,0
secondary,feeder2_947,0
secondary,feeder2_868,0
secondary,feeder2_785,0
secondary,feeder2_1176,0
secondary,feeder2_846,0
secondary,feeder2_911,0
secondary,feeder2_1107,0
secondary,feeder2_920,0
secondary,feeder2_926,0
secondary,feeder2_1239,0
secondary,feeder2_933,0
secondary,feeder2_1146,0
secondary,feeder2_1124,0
secondary,feeder2_942,0
secondary,feeder2_952,0
secondary,feeder2_965,0
secondary,feeder2_961,0
secondary,feeder2_963,0
secondary,feeder2_973,0
secondary,feeder2_1128,0
secondary,feeder2_1113,0
secondary,feeder2_1143,0
secondary,feeder2_1238,0
secondary,feeder2_979,0
secondary,feeder2_1236,0
secondary,feeder2_989,0
secondary,feeder2_1196,0
secondary,feeder2_1158,0
secondary,feeder2_1122,0
secondary,feeder2_1258,0
secondary,feeder2_1303,0
secondary,feeder2_1138,0
secondary,feeder2_1304,0
secondary,feeder2_1212,0
