Lines,Lines_k,Lines_i,Lines_cable
feeder2_line1,secondary,feeder2_44,3c_300_sac_xc
feeder2_line2,feeder2_44,feeder2_45,3c_300_sac_xc
feeder2_line3,feeder2_44,feeder2_46,25_sac_xc
feeder2_line4,feeder2_45,feeder2_51,3c_300_sac_xc
feeder2_line5,feeder2_45,feeder2_48,25_sac_xc
feeder2_line6,feeder2_51,feeder2_52,25_sac_xc
feeder2_line7,feeder2_51,feeder2_68,3c_300_sac_xc
feeder2_line8,feeder2_68,feeder2_69,25_sac_xc
feeder2_line9,feeder2_68,feeder2_71,3c_300_sac_xc
feeder2_line10,feeder2_71,feeder2_72,25_sac_xc
feeder2_line11,feeder2_71,feeder2_73,3c_300_sac_xc
feeder2_line12,feeder2_73,feeder2_74,25_sac_xc
feeder2_line13,feeder2_73,feeder2_77,3c_300_sac_xc
feeder2_line14,feeder2_77,feeder2_79,25_sac_xc
feeder2_line15,feeder2_77,feeder2_81,3c_300_sac_xc
feeder2_line16,feeder2_81,feeder2_82,25_sac_xc
feeder2_line17,feeder2_81,feeder2_116,3c_300_sac_xc
feeder2_line18,feeder2_116,feeder2_119,25_sac_xc
feeder2_line19,feeder2_116,feeder2_120,3c_300_sac_xc
feeder2_line20,feeder2_120,feeder2_248,35_sac_xc
feeder2_line21,feeder2_120,feeder2_124,3c_300_sac_xc
feeder2_line22,feeder2_124,feeder2_282,35_sac_xc
feeder2_line23,feeder2_124,feeder2_275,35_sac_xc
feeder2_line24,feeder2_124,feeder2_151,3c_300_sac_xc
feeder2_line25,feeder2_151,feeder2_295,35_sac_xc
feeder2_line26,feeder2_151,feeder2_311,35_sac_xc
feeder2_line27,feeder2_151,feeder2_201,3c_300_sac_xc
feeder2_line28,feeder2_201,feeder2_314,35_sac_xc
feeder2_line29,feeder2_201,feeder2_342,3c_300_sac_xc
feeder2_line30,feeder2_342,feeder2_368,3c_185_sac_xc
feeder2_line31,feeder2_342,feeder2_347,3c_300_sac_xc
feeder2_line32,feeder2_347,feeder2_353,3c_300_sac_xc
feeder2_line33,feeder2_347,feeder2_518,35_sac_xc
feeder2_line34,feeder2_353,feeder2_365,3c_300_sac_xc
feeder2_line35,feeder2_353,feeder2_653,35_sac_xc
feeder2_line36,feeder2_365,feeder2_377,3c_300_sac_xc
feeder2_line37,feeder2_365,feeder2_622,35_sac_xc
